,citingcorpusid,citedcorpusid,isinfluential,contexts,intents,updated
0,20187272,85219962.0,False,,,2020-09-13T15:59:00.392Z
1,119870540,137310640.0,False,,,2020-09-28T05:39:33.900Z
2,18835056,,False,,,2020-10-01T18:05:47.174Z
3,128947670,,False,"['Before these years, there are various treatises in which a compass is mentioned, such as Da’irat al-Muaddel , which means ‘ Equatorial (Semi-circle) of the Turkish Admiral Seydi Ali Reis (Karim, 2005; Wiedeman, 2005; Sipahioglu, 1957; Dizer, 1977).', 'A treatise on the magnetic compass used for finding the Kibla was compiled by Rasulid Yemeni Sultan al-Ashraf in about 1290 (Karim, 2005).']","['background', 'methodology']",2020-12-11T05:14:10.225Z
4,169150838,,True,"['S.A. and Post, J. (2003). „Between Markets and Partnerships: Urban Solid Waste Management and Contributions to Sustainable Development?’ Global Built Environment Review, Volume 3, Issue 1, pp.', 'This compares again to the study of Njoroge et al, (2013) where most of the respondents pick waste as the only source of livelihood support.', 'The US. EPA (2012) also raised concerns of leachate not only affecting ground water but also its movement to and contamination of surface water hence putting life at risk whiles also endangering the lives of communities that source water from such water bodies.', 'None-the-less, in the findings of the study of Njoroge et al (2013) in Kenya, it was realised that males were dominant in the waste picking activity and this was associated with the nature of the job as being too difficult and societal and cultural ascription to females but then again, contradicts Huysman (1994) who argued that women are at a disadvantage hence tend to dominate the waste picking sector owing to their low educational levels compared to men.', 'Njoroge et al (2013) in Kenya realised that males were dominant in waste picking activities as a means to feed their families and this was done as their only source of livelihood.', '62 Njoroge S. K. et al (2013) Influence of Informal Solid Waste Management on Livelihoods of Urban Solid Waste Collectors: A Case Study of Nakuru Municipality, Kenya.', 'This result therefore occurred in the study of Njoroge et al, (2013) who also argued that fire at dump sites poses a constant danger to habitant near such facilities.']",['background'],2020-12-10T11:44:46.918Z
5,22971492,,False,,,2020-12-10T01:48:11.746Z
6,34747680,38571690.0,False,,,2020-12-12T10:15:16.395Z
7,219475436,,False,,,2021-06-04T11:14:40.064Z
8,16165464,,False,,,2020-07-23T04:11:03.184Z
9,86354842,,False,,,2020-07-24T01:38:37.608Z
10,24762483,9730073.0,False,,,2020-11-25T08:05:33.152Z
11,107696193,,True,"['Another rationale is attributable to the fact that currently the oncologic diagnosis is totally dependent on the human operator, a factor that both raises the cost of the existing procedures and pays its toll through the inevitable errors involved [47].', 'Table 3-1 Normal level for basic tumour markers (adapted after [47]).', 'Table 3-2 Cancer and tumour associated markers (adapted after [47]) .', 'The literature [47, 51-54] in oncology emphasizes the importance of early detection of the disease as the primordial factor in the survival of the patient and an important component of the quality of life following the treatment.', 'The classic approach in the cancer diagnosis involves invasive techniques where bio-samples collected from tumors - biopsies - are prepared using staining techniques and subsequently morphologically analyzed under the microscope [47].', 'The immunoassays and the immunosensors [3, 47, 54, 62, 66-69] use the selectivity of an antibody to specifically bind to the specific antigen from a mixture of complex biological substances (Figure 3.', '28 Table 3-2 Cancer and tumour associated markers (adapted after [47])', 'The promise of μTAS devices in being extremely precise, versatile and low cost (as a result of the batch fabrication technologies and the small quantities of analytes involved) brings a perspective where the micro fabricated devices combined with genomic, proteomic, epigenetic profiling, and predictive biomarkers will be accountable for a revolutionary breakthrough in the oncologic field [4, 5, 47, 50].', 'They are the environment in which 99% of the prostate malignant conditions occur [47].', 'Table 3-1 Normal level for basic tumour markers (adapted after [47])']","['background', 'methodology']",2020-12-12T07:11:41.853Z
12,55507221,,False,"['These groups of authors (see, e.g., Birchall, 2004, 2003; Holmén, 1990; ICA/ILO, 2005; Wanyama et al., 2008; Simmons and Birchall, 2008; Develtere et al., 2008; Bibby and Shaw, 2005; Markell, 2004; Stiglitz, 2004; Pollet and Develtere, 2004; Parnell, 2001; Spear, 2002; Vicari, 2008; OCDC, 2007) share an optimistic perspective arguing that cooperatives are the only institutions that have the potential of meeting all the dimensions of poverty.']",['background'],2020-12-12T18:35:47.626Z
13,221174214,139052746.0,False,,,2020-12-13T11:26:57.513Z
14,221175088,,False,"[', 2011), antibacterial properties (Patel and Vakilwala, 2016; Sambasivaraju and Fazeel, 2018), and antioxidant activity (Pathak et al.', '…2010) through stimulation of appetite and feed intake (FI), the improvement of digestive enzyme secretion, activation of immune response (Rahimi et al., 2011), antibacterial properties (Patel and Vakilwala, 2016; Sambasivaraju and Fazeel, 2018), and antioxidant activity (Pathak et al., 2011).']",['background'],2020-08-23T21:16:45.013Z
15,134574203,129716715.0,False,['It is worth to note that the investigated coastal sector is characterised by long- (since LGM) and short-term tectonic uplift that is in contrast with the general seaward sliding dynamics (see also [15] and [44]).'],['background'],2020-11-21T13:56:28.165Z
16,73135719,143055866.0,False,,,2020-07-22T16:45:49.728Z
17,202628680,60704405.0,False,,,2021-01-13T10:21:06.780Z
18,53381094,24107273.0,False,,,2020-12-01T20:36:13.973Z
19,1821041,8733528.0,False,"['Recent approaches use voice search to query a database directly with noisy ASR (Passonneau et al., 2010; Wang et al., 2008).']",,2020-11-29T20:39:52.772Z
20,12728886,39510434.0,False,,,2020-12-23T13:37:49.864Z
21,62658094,91712071.0,False,,,2020-12-09T20:33:26.572Z
22,21054509,90370508.0,False,,,2020-12-10T03:35:41.057Z
23,239752244,229688983.0,False,,,2021-10-26T17:59:16.783Z
24,232343176,37748957.0,False,['…glycidamide pass through the placenta and distribute evenly into the fetus with a slightly higher\nconcentration in the fetal brain; it is also secreted via milk during lactation (Marlowe et al. 1986; Sörgel et al. 2002; Schettgen et al. 2004; Annola et al. 2008; Myöhänen and Vähäkangas 2012).'],['background'],2021-08-28T08:36:55.759Z
25,63094151,8361936.0,False,,,2020-12-28T09:41:37.341Z
26,173548859,126870543.0,False,,,2021-01-08T21:42:30.313Z
27,68265172,53795018.0,False,"['However, as Pernick posits, with the devastating arrival of the Black Death in Europe in the year 1348, a delay from the moment of death until the burial became extremely difficult, if not impossible; people worried not only about the pestilence but also of being buried alive [7].']",['background'],2020-11-29T14:49:53.102Z
28,137220052,25804.0,False,,,2020-11-24T04:26:43.498Z
29,3662858,136681759.0,False,"['The cellulose fibrils can more effectively suppress the free movement of PVA chains, restricting their ability to fold and thus reduce their crystallinity (Boudenne et al. 2011) if compared to that of PVA/(M/NFC) films.']",['background'],2020-12-28T13:25:48.644Z
30,137754896,93599398.0,False,,,2020-12-28T08:59:44.265Z
31,103831322,98302878.0,False,,,2021-04-03T22:35:15.740Z
32,93204581,97177035.0,False,,,2020-10-13T02:18:11.594Z
33,29320424,26752464.0,False,"['In vivo microdialysis measurements or fast-scan voltammetry demonstrate that appetitive rewards promote an efflux of dopamine in the NAc (15, 16).', 'Behavioral, electrophysiological (9), and in vivo microdialysis (15, 16) studies have consistently demonstrated activation of mesolimbic dopaminergic neurons by natural rewards, rewarding drugs, and reward-predicting cues (11, 32, 33).']",['background'],2020-09-25T12:01:18.342Z
34,13370803,26703697.0,False,,,2020-11-24T10:42:38.140Z
35,51929417,,True,"['Lately the application of MSCs and Platelet rich plasma (PRP) for bone defects has been improved (Tajima et al. 2015).', 'Platelets consist of more than 300 biologically active molecules, which are secreted upon activation process (Fernandes and Yang 2016).', 'PRP was first introduced as a great number of platelet which exist in a small volume of plasma and contain numerous growth factors (Fernandes and Yang 2016).', 'In addition to immunomodulatory and differentiation potential of MSCs, they can express important cytokines including Epidermal Growth Factors (EGF), Vascular Endothelial Growth Factor (VEGF), Transforming Growth Factor (TGFb) and bioactive molecules which are essential in tissue repair (Freitag et al. 2016).', 'Mesenchymal stem cells (MSCs) from different origins in combination with distinct scaffold, materials or growth factors can be utilized for clinical conditions (Yamaguchi 2014).', 'Dental osteointegration, bone regeneration, periodontal defects, spinal fusions, distraction osteogenesis and fractures have been treated with the help of PRP in combination with MSCs (Fernandes and Yang 2016).']",['background'],2021-11-03T04:27:33.530Z
36,129913473,,False,,,2021-02-18T13:56:54.310Z
37,59736216,11739658.0,False,,,2020-11-23T20:48:09.933Z
38,104834033,139224734.0,False,,,2021-11-02T08:35:49.082Z
39,137637233,137269084.0,True,"['0wt% Zr) investigated by Blokhina et al [55] is used in aerospace applications and is praised for its creep resistance.', 'Blokhina et al. gave the composition as (MgZn)12Nd and Mukhina stated Mg12Nd.', 'The Russian casting alloy ML10 (Mg, 2.2-2.8wt% Nd, 0.1-0.7wt% Zn and 0.4-1.0wt% Zr) investigated by Blokhina et al [55] is used in aerospace applications and is praised for its creep resistance.']",['methodology'],2021-03-28T17:26:35.814Z
40,84252240,25007214.0,False,,,2021-04-06T07:16:13.872Z
41,17354560,22509969.0,False,"['High frequency of gr/gr chromosome Y deletions in consecutive oligospermic ICSI candidates', 'Deletion of the DAZ gene copies, DAZ1 and DAZ2, has been previously reported as causing a decrease in male’s sperm number\n(de Vries et al., 2002; Fernandes et al., 2002; Repping et al., 2003).']",['background'],2022-07-05T00:59:37.248Z
42,249834925,52006602.0,False,"['Table 6 presents the line current THD of the proposed simplified MPDPCS1 and some other recently proposed control algorithms [3], [6], [8], [9], [37] performed using MATLAB', 'The comparison is made between the proposed simplified MPDPCS1 and each of previous works in [3], [6], [8], [9], [37].']","['methodology', 'result']",2022-07-04T23:36:35.556Z
43,250233707,25322697.0,False,,,2022-07-05T01:15:53.531Z
44,151074646,,False,,,2022-07-07T12:47:13.076Z
45,238678655,131962546.0,False,,,2022-07-04T18:24:22.413Z
46,25385959,3694540.0,False,,,2022-07-04T19:11:19.005Z
47,250209572,20398164.0,True,"['Serene Peace and rest, free from disturbances, sounds of nature\nStudies show (e.g. de Jong et al., 2011, 2012; Stoltz et al., 2013, as well as Papers I and II in this thesis) high agreement among people to which degree an environment supports a PSD quality, making them suitable for reliable…', 'Taken together, results (e.g. Björk et al., 2008; de Jong et al., 2011, 2012; Stoltz et al., 2013) indicate the overall reliability as well as the validity and salutogenic relevance of such evaluations.', 'De Jong et al. (2012) found an association with increased physical activity and the number of PSDs in the neighbourhood green spaces.', 'Ideally, each quality should be afforded in the living environment within approximately 250-300 m, or 5-10 min of walk, from the dwelling, indicated by previous studies as a relevant scale level (e.g. Stigsdotter & Grahn, 2003; Björk et al., 2008; de Jong et al., 2011, 2012; Stoltz et al., 2013).', 'D. Spatial aggregations of large numbers of geocoded perceptions (e.g. de Jong et al., 2011,\n2012, and Paper II in this thesis).', 'This has been done by e.g., Björk et al. (2008), de Jong et al. (2011, 2012), as well as in Paper II in this thesis.', '…results linking a larger number of PSDs in the neighbourhood with positive health and wellbeing outcomes (e.g. Björk et al., 2008; de Jong et al., 2012), might suggest that they represent complimentary, but equally important, aesthetic needs in relation to our close-by living…']","['background', 'methodology']",2022-07-04T23:00:55.233Z
48,153654969,154731926.0,False,,,2022-07-07T12:37:46.824Z
49,214192293,92576949.0,False,,,2022-07-06T06:58:41.159Z
50,11460463,24312075.0,False,,,2022-07-06T09:12:49.041Z
51,96711377,93639190.0,False,,,2020-11-25T15:33:09.596Z
52,159067969,145534258.0,False,"['…and sense of belonging, for instance, through improvements in academic achievement, teachers’ perceptions and lower discrimination against ethnic minority students (Howard, 2010[126]; European Commission, 2016[123]; OECD, 2010[128]; Lindahl, 2007[129]; Pitts, 2007[130]; Kane and Orsini, 2003[131]).']",['background'],2020-10-17T14:56:53.813Z
53,146475944,144657405.0,False,"['The latter may increase students’ understanding of scientific methodology (Bowman & Waite, 2003; Rosell et al., 2005), but it falls short of fully engaging students in the research enterprise.']",['background'],2020-08-06T23:46:42.733Z
54,238934595,,False,,,2022-07-08T04:49:46.102Z
55,149045348,142218409.0,False,"['유아가 일상생활 에서 시각문화에 참여하고 즐기고, 표현하는 경험은 유아의 전인적 발달에 도움이 되며, 이러한 시각문화의 경험을 통해 표상능력과 창의력을 발달시킬 수 있다[2].']",,2022-07-09T00:55:03.919Z
56,71772719,46152558.0,False,,,2020-10-17T16:57:24.920Z
57,213884311,23442994.0,False,,,2020-07-08T05:53:56.815Z
58,5744712,30443676.0,False,"['Moreover, it is well established that cytochrome c-catalyzed peroxidation of CL and accumulation of oxidized CL (CL-ox) are required for the completion of the cell death program (Kagan et al 2009).']",['background'],2020-12-06T12:25:34.604Z
59,22483161,30712828.0,False,"['As previously mentioned HAAH is overexpressed in tumor and involved in regulating tumor cell infiltration and metastasis [7,8,15,16].', '01 has a predicted molecular mass of 86 kD [8].']",['background'],2020-12-30T03:52:23.048Z
60,198743922,12346319.0,False,,,2021-10-05T23:51:28.690Z
61,37697362,25145202.0,False,"['reaction [6], cell-mediated cytotoxicity [33], lymphokine-']",,2021-07-08T18:44:47.704Z
62,219168538,91792221.0,False,,,2022-07-04T19:39:43.788Z
63,59831593,81492598.0,False,,,2022-07-04T22:28:02.977Z
64,4864615,39751990.0,False,"['Moreover, according to a randomized phase II trial, a 6-month intervention of mixed soy isoflavones in high-risk or healthy adult Western women induced no reduction of breast epithelial proliferation, suggesting the poor efficacy of soy isoflavones for breast cancer prevention and an even possible adverse effect on premenopausal women [53].']",['background'],2020-06-14T11:21:18.556Z
65,29722100,42016925.0,False,,,2020-12-10T07:22:16.890Z
66,9280140,1299234.0,False,,,2022-07-11T00:08:29.399Z
67,15751963,195931384.0,False,,,2022-07-11T07:23:28.101Z
68,14326679,,False,,,2022-07-11T12:34:34.241Z
69,225287277,115595830.0,False,"['To suppress the wind turbine vibration caused by wind, several control strategies have been studied [5,8,14,17].', '[17] designed multivariable disturbance observer based linear controllers which can be used with individual pitch control with the objective of reducing output power fluctuation, tower oscillation and drive-train torsion by using optimal control theory.']",['methodology'],2022-08-20T02:47:34.445Z
70,213896879,136652461.0,False,"['Bi-functional materials with distinct magnetic and fluorescent (luminescent) properties have received considerable attention [1,2] due to their potential applications in magnetic resonance imaging [3], targeted drug delivery [4], sensors [5,6], optical isolators [7–9], high accuracy communication [10], and aircraft guidance [11].']",['background'],2022-08-20T09:41:02.447Z
71,11465391,100640014.0,False,,,2022-08-20T14:35:08.781Z
72,225348432,56082448.0,False,"['Precipitation provides available water for vegetation growth and plays a crucial role in arid and semi-arid ecosystem productivity (Liu et al 2016a).', 'We evaluated the strength of relationships between the two vegetation metrics (greenness and BGS) and climate factors using partial correlation analysis (Liu et al 2016a).', 'This agrees with both global and regional analyses that vegetation greening and growing-season advancing are important drivers of long-term ETa variations (Ukkola et al 2016, Zhang et al 2016, Liu et al 2016b).']","['background', 'methodology']",2022-08-20T14:42:40.577Z
73,214321219,,False,"['…term using a set of exogenous determinants associated with spatial heterogeneity (Brehm, 2013; Hughes, Lawson, Davidson, Jackson, & Sheng, 2011; Lavado & Barrios, 2010), while the second one accounts for spatial dependence through spatial autoregressive specifications, including the spatial…']",,2022-08-20T19:15:01.863Z
74,247095365,202689498.0,False,,,2022-08-20T16:54:40.191Z
75,251501974,11649050.0,False,,,2022-08-20T17:09:39.115Z
76,251530845,138722498.0,False,,,2022-08-20T18:24:38.922Z
77,34657799,,False,,,2022-08-22T06:48:23.688Z
78,93777474,96693270.0,False,,,2021-04-04T09:17:09.415Z
79,68717819,7688534.0,False,,,2022-08-24T22:27:23.250Z
80,1486781,30079772.0,False,"['Finally, a number of genes that initially were categorized as retropseudogenes based simply on the fact that they exhibit some or all of the hallmarks, were subsequently shown to bebona fidegenes (Koller & Strehler, 1988; Yaswen et al., 1992; Noyce & Piper, 1994; Noyce, Conaty & Piper, 1997).']",['background'],2022-08-25T02:24:03.722Z
81,145654183,6144896.0,False,"['Yet, those who exhibit ambivalence in their response to change often find themselves juggling between conflicting signals of intentionality that keep them at status quo without fully appreciating and participating in the change (Piderit, 2000; Vaast and Levina, 2006).']",['background'],2022-08-25T03:38:43.002Z
82,19518430,,False,,,2022-08-24T18:36:38.701Z
83,8878357,352670.0,False,,,2022-08-24T20:22:13.274Z
84,225103124,18055984.0,False,"['The HOM effect can also be used to entangle photons; in combination with single-photon detection and post-selection, it also can act as a probabilistic CNOT gate [6, 10, 11].']",['background'],2022-08-21T10:14:04.009Z
85,158373294,73255390.0,False,,,2022-08-20T19:39:06.076Z
86,13016780,124374869.0,False,"['…ic.oup.com /biostatistics/article-abstract/12/3/506/247189 by guest on 30 O ctober 2018\nwidely used in the statistical literature, for example,Pepe and Fleming(1991), Reilly and Pepe(1995, 1997), Lawlessand others(1999), Zhou and Pepe(1995); Zhou and Wang(2000), andWeaver and Zhou (2005).']",['background'],2022-08-21T01:35:06.660Z
87,168860678,,False,,,2022-08-21T05:31:36.290Z
88,3063609,18530.0,False,"['Potential of logic programming as a formal reasoning tool in software engineering has been recognized before [1, 3, 25, 32, 34, 35].', 'al [25] to manage intentional source code views.']",['background'],2022-08-25T06:58:55.996Z
89,115448015,,False,"['The Optimization School: The Project as a Machine Modern project management has its roots in the field of operations research of the 1940s and 1950s (Morris, 1997).']",['background'],2020-07-07T15:45:11.743Z
90,2559370,,False,"['First, the Lab for Urban Fragment Futures (LUFF) aims at introducing the idea of future adaptability during the early stages of urban development projects [16].', 'Further, it could be noticed that scenario planning is adopted occasionally in specific domains such as the design of healthcare infrastructure [15] and of urban neighborhoods [16].']",['background'],2020-07-09T02:35:52.288Z
91,60237078,60692899.0,False,,,2020-05-15T17:44:42.900Z
92,223592925,36889036.0,False,,,2020-10-20T19:07:11.099Z
93,162484340,137572986.0,False,,,2020-10-18T17:03:39.025Z
94,8110966,36074357.0,False,,,2020-10-16T20:17:42.820Z
95,5244722,43177913.0,False,,,2020-10-17T06:49:30.161Z
96,9649532,45825257.0,False,"['Th e\nJo ur\nna l o\nf E xp\ner im\nen ta\nl B io\nlo gy\nNonetheless, motility patterns (e.g. MMCs and peristalsis) observed in conscious animals (Hellström and Ljung, 1996; Ruckebusch and Buéno, 1976; Szurszewski, 1969), have also been documented in several anaesthetised animals (Healy et al., 1981;…', 'MMCs and peristalsis) observed in conscious animals (Hellström and Ljung, 1996; Ruckebusch and Buéno, 1976; Szurszewski, 1969), have also been documented in several anaesthetised animals (Healy et al.']",['background'],2020-12-30T18:42:52.983Z
97,55926341,169306922.0,False,"['It is profitable to gradually open to them the magnificent, salvific, and substitutionary role of this Servant on our behalf by explaining what He did and accomplished for us (see especially Isa 53; for further study see Kaiser 1995:155-185; and Satterthwaite, Hess, and Wenham 1995:105-165).']",['background'],2021-01-03T14:56:37.408Z
98,135172216,,True,"['In the meantime, the city has to take on the extra burden to provide essential insurance and social security (Xiong, 2013).', 'Xiong (2013) found out that the human capital between urban and rural community can only be made up by compensation.', 'to provide essential insurance and social security (Xiong, 2013).']",['background'],2020-05-05T08:59:16.394Z
99,8957993,,False,,,2021-08-05T19:03:32.729Z
